optimizer,obj,trial,n_clusters,time_run,BHI,DBI,DI,SI,RSI,FMS,HS,CS,VMS,KS
SADE,MSEI,1,3,405137.02284,72.3545,1.72329,0.25815,0.17905,-1.07685,0.48157,0.16356,0.13684,0.14901,0.48518
SADE,MSEI,2,3,405140.16822,72.3545,1.72329,0.28261,0.17905,-1.07685,0.48157,0.16356,0.13684,0.14901,0.48518
SADE,MSEI,3,3,405143.34689,72.34003,1.69082,0.23035,0.17826,-1.06561,0.45346,0.11006,0.09246,0.1005,0.45661
SADE,MSEI,4,3,405146.48445,72.34003,1.69082,0.22728,0.17826,-1.06561,0.45346,0.11006,0.09246,0.1005,0.45661
SADE,MSEI,5,3,405149.59311,72.41719,1.72062,0.22201,0.17834,-1.07818,0.47573,0.13084,0.10947,0.1192,0.4793
SADE,MSEI,6,3,405152.78769,72.59338,1.7275,0.22448,0.17487,-1.08166,0.47205,0.14906,0.12435,0.13559,0.47577
SADE,MSEI,7,3,405155.94635,72.34003,1.69082,0.22817,0.17826,-1.06561,0.45346,0.11006,0.09246,0.1005,0.45661
SADE,MSEI,8,3,405159.07266,72.3545,1.72329,0.22817,0.17905,-1.07685,0.45225,0.11533,0.09649,0.10507,0.45564
SADE,MSEI,9,3,405161.82431,72.46928,1.69425,0.23107,0.17725,-1.07002,0.47702,0.14965,0.1256,0.13657,0.48039
SADE,MSEI,10,3,405163.90876,72.40175,1.72426,0.22441,0.17897,-1.08003,0.48317,0.16623,0.13902,0.15141,0.48681
SADE,CHI,1,3,405165.95063,72.43497,1.72995,0.28261,0.17834,-1.08056,0.45358,0.11728,0.09805,0.10681,0.45702
SADE,CHI,2,3,405168.04213,72.57273,1.69174,0.21451,0.17567,-1.07266,0.47414,0.13527,0.1135,0.12343,0.47749
SADE,CHI,3,3,405170.12648,72.5913,1.71106,0.26483,0.17639,-1.07956,0.47078,0.1249,0.10462,0.11386,0.47424
SADE,CHI,4,3,405172.20233,72.39973,1.68463,0.22728,0.17751,-1.07077,0.46935,0.13055,0.10946,0.11908,0.47273
SADE,CHI,5,3,405174.28644,72.3545,1.72329,0.28261,0.17905,-1.07685,0.46818,0.11995,0.10036,0.10928,0.4717
SADE,CHI,6,3,405176.34998,127.09803,1.98596,0.27927,0.18736,-0.62127,0.5295,0.07014,0.45873,0.12168,0.53171
SADE,CHI,7,3,405178.46942,72.4581,1.70531,0.21875,0.17681,-1.07906,0.45219,0.10795,0.09015,0.09825,0.45569
SADE,CHI,8,3,405180.56697,72.5649,1.71365,0.22647,0.17646,-1.079,0.44203,0.10094,0.08455,0.09202,0.44528
SADE,CHI,9,3,405182.67752,72.3545,1.72329,0.28261,0.17905,-1.07685,0.46818,0.11995,0.10036,0.10928,0.4717
SADE,CHI,10,3,405184.78439,72.3545,1.72329,0.22448,0.17905,-1.07685,0.48157,0.16356,0.13684,0.14901,0.48518
SADE,RTS,1,3,405186.85837,86.8608,1.84595,0.13975,0.07796,-0.70272,0.85954,0.5681,0.73139,0.63949,0.86191
SADE,RTS,2,3,405322.16517,82.42173,1.80499,0.11079,0.09428,-0.86335,0.83878,0.55774,0.61008,0.58274,0.83932
SADE,RTS,3,3,405424.22849,86.85064,1.84864,0.13975,0.07769,-0.70272,0.85938,0.56466,0.72649,0.63543,0.86173
SADE,RTS,4,3,405491.75581,85.90793,2.13576,0.15182,0.08201,-0.93548,0.82301,0.54183,0.63171,0.58333,0.82436
SADE,RTS,5,3,405626.07009,86.18442,1.98448,0.2226,0.0729,-0.82458,0.84381,0.55189,0.6708,0.60556,0.84549
SADE,RTS,6,3,405770.70625,86.33157,1.99685,0.15271,0.07551,-0.82029,0.83327,0.52489,0.64375,0.57828,0.83506
SADE,RTS,7,3,405915.1967,81.14795,1.81771,0.23579,0.10391,-0.91212,0.83166,0.55527,0.57908,0.56693,0.8318
SADE,RTS,8,3,406058.1006,86.80565,1.83905,0.21972,0.07761,-0.70242,0.85344,0.54767,0.70366,0.61594,0.85571
SADE,RTS,9,3,406202.48616,81.02154,1.82734,0.17457,0.1061,-0.93261,0.82231,0.54374,0.56314,0.55327,0.82241
SADE,RTS,10,3,406346.79228,81.23618,1.79712,0.16181,0.10208,-0.8957,0.82764,0.56306,0.59131,0.57684,0.82785
SADE,ARS,1,3,406461.05164,80.94804,1.89364,0.17267,0.11758,-1.08226,0.82258,0.54295,0.55193,0.5474,0.8226
SADE,ARS,2,3,406463.1216,86.51487,1.91228,0.13975,0.07742,-0.82576,0.85017,0.54654,0.6871,0.60881,0.85219
SADE,ARS,3,3,406465.17591,81.79925,1.86998,0.12826,0.11015,-1.01405,0.83805,0.5697,0.60105,0.58496,0.83826
