optimizer,obj,trial,n_clusters,time_run,BHI,DBI,DI,SI,RSI,FMS,HS,CS,VMS,KS
SADE,MSEI,1,7,324328.24283,12.28107,1.18306,0.44583,0.39901,-0.99958,0.66599,0.7669,0.80218,0.78414,0.66774
SADE,MSEI,2,7,324332.73858,12.24057,1.22218,0.40196,0.40553,-1.02851,0.65666,0.76198,0.81431,0.78728,0.65773
SADE,MSEI,3,7,324336.34879,12.30768,1.23688,0.39191,0.40142,-1.03955,0.68756,0.78913,0.81971,0.80413,0.69102
SADE,MSEI,4,7,324339.9702,12.16834,1.20785,0.41721,0.40954,-1.01606,0.68756,0.78913,0.81971,0.80413,0.69102
SADE,MSEI,5,7,324343.7531,12.16834,1.20785,0.40304,0.40954,-1.01606,0.70769,0.80525,0.82251,0.81379,0.7136
SADE,MSEI,6,7,324347.42812,12.19981,1.16398,0.44075,0.40403,-0.98375,0.6924,0.79329,0.80771,0.80044,0.69649
SADE,MSEI,7,7,324351.02146,12.16834,1.20785,0.41721,0.40954,-1.01606,0.73667,0.84668,0.82643,0.83643,0.7461
SADE,MSEI,8,7,324354.69575,12.84961,1.25064,0.36592,0.40008,-1.04933,0.63775,0.73666,0.74682,0.74171,0.64255
SADE,MSEI,9,7,324358.24439,12.19981,1.16398,0.45624,0.40403,-0.98375,0.61535,0.72201,0.79338,0.75601,0.61537
SADE,MSEI,10,7,324361.77036,12.16834,1.20785,0.40304,0.40954,-1.01606,0.74062,0.85385,0.82589,0.83964,0.74962
SADE,CHI,1,7,324365.25939,30.54704,1.15585,0.61847,0.42023,-0.73595,0.74679,0.57796,0.92369,0.71103,0.76551
SADE,CHI,2,7,324368.96329,50.84377,1.37033,0.50806,0.37789,-0.60351,0.81584,0.60382,1.0,0.75298,0.8294
SADE,CHI,3,7,324372.57274,30.54704,1.15585,0.65888,0.42023,-0.73595,0.86643,0.74497,0.92237,0.82423,0.86863
SADE,CHI,4,7,324376.18178,51.01206,1.38686,0.5389,0.37428,-0.61094,0.8031,0.5807,0.96383,0.72475,0.81632
SADE,CHI,5,7,324379.88784,30.54704,1.15585,0.65888,0.42023,-0.73595,0.74679,0.57796,0.92369,0.71103,0.76551
SADE,CHI,6,7,324383.64068,50.84377,1.37033,0.50806,0.37789,-0.60351,0.81584,0.60382,0.97719,0.74642,0.8294
SADE,CHI,7,7,324387.27104,30.54704,1.15585,0.61768,0.42023,-0.73595,0.86643,0.74497,0.94088,0.83154,0.86863
SADE,CHI,8,7,324390.98619,30.54704,1.15585,0.65888,0.42023,-0.73595,0.86643,0.74497,0.92237,0.82423,0.86863
SADE,CHI,9,7,324394.62347,30.54704,1.15585,0.61768,0.42023,-0.73595,0.86643,0.74497,0.94088,0.83154,0.86863
SADE,CHI,10,7,324398.31961,30.54704,1.15585,0.61847,0.42023,-0.73595,0.74679,0.57796,0.92369,0.71103,0.76551
