Dataset,Optimizer,objfname,k,ExecutionTime,SSE,Purity,Entropy,HS,CS,VM,AMI,ARI,Fmeasure,TWCV,SC,Accuracy,DI,DB,STDev,Iter1,Iter2,Iter3,Iter4,Iter5,Iter6,Iter7,Iter8,Iter9,Iter10,Iter11,Iter12,Iter13,Iter14,Iter15,Iter16,Iter17,Iter18,Iter19,Iter20,Iter21,Iter22,Iter23,Iter24,Iter25,Iter26,Iter27,Iter28,Iter29,Iter30,Iter31,Iter32,Iter33,Iter34,Iter35,Iter36,Iter37,Iter38,Iter39,Iter40,Iter41,Iter42,Iter43,Iter44,Iter45,Iter46,Iter47,Iter48,Iter49,Iter50
smiley,SSA,SSE,4,5.72,12.55,0.77,0.35,0.37,0.21,0.27,0.26,0.02,0.22,12.54,0.27,0.02,0.98,0.67,0.06,0.0,20.24,18.07,18.07,17.17,17.17,16.79,14.96,13.7,13.7,13.7,13.7,13.7,13.67,13.65,13.06,13.06,12.98,12.86,12.73,12.7,12.67,12.62,12.6,12.58,12.56,12.56,12.56,12.56,12.56,12.55,12.55,12.55,12.55,12.55,12.55,12.55,12.55,12.55,12.55,12.55,12.55,12.55,12.55,12.55,12.55,12.55,12.55,12.55,12.55
smiley,SSA,SSE,4,5.69,11.73,0.77,0.37,0.32,0.18,0.23,0.22,0.03,0.11,11.73,0.27,0.03,0.97,0.79,0.06,0.0,26.27,22.05,20.91,18.04,16.82,16.82,15.81,14.97,14.55,14.55,13.58,12.59,12.59,12.31,12.04,11.91,11.91,11.88,11.88,11.83,11.82,11.81,11.78,11.76,11.75,11.75,11.74,11.74,11.74,11.74,11.74,11.73,11.73,11.73,11.73,11.73,11.73,11.73,11.73,11.73,11.73,11.73,11.73,11.73,11.73,11.73,11.73,11.73,11.73
smiley,SSA,SSE,4,5.71,11.79,0.77,0.37,0.32,0.18,0.23,0.22,0.03,0.22,11.72,0.27,0.03,0.98,0.79,0.06,0.0,23.31,20.57,17.3,17.2,16.49,14.48,14.48,13.25,13.25,13.25,13.25,13.25,13.12,12.97,12.97,12.64,12.5,12.45,12.26,12.12,11.96,11.92,11.86,11.85,11.83,11.82,11.81,11.8,11.8,11.8,11.79,11.79,11.79,11.79,11.79,11.79,11.79,11.79,11.79,11.79,11.79,11.79,11.79,11.79,11.79,11.79,11.79,11.79,11.79
smiley,GWO,SSE,4,5.73,11.75,0.77,0.36,0.34,0.19,0.24,0.24,0.02,0.23,11.72,0.27,0.02,0.98,0.77,0.06,18.28,18.28,18.28,18.28,18.28,18.28,18.28,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7,13.07,13.07,13.07,13.07,13.07,13.07,13.07,13.07,12.76,12.76,12.76,12.76,12.56,12.56,12.54,12.54,12.54,12.52,12.25,12.25,12.25,12.13,11.92,11.84,11.84,11.8,11.75
smiley,GWO,SSE,4,5.7,11.8,0.77,0.36,0.34,0.19,0.24,0.24,0.03,0.2,11.73,0.27,0.03,0.98,0.77,0.06,25.33,25.33,22.34,22.34,19.69,19.69,19.69,19.69,18.02,18.02,18.02,15.62,15.62,15.62,15.62,15.62,15.62,15.62,15.62,15.62,14.15,14.15,14.15,14.15,14.15,14.15,14.15,14.15,14.15,13.54,13.54,13.54,13.36,13.02,13.02,12.9,12.57,12.57,12.57,12.09,12.09,11.99,11.88,11.88,11.88,11.85,11.85,11.85,11.83,11.8
smiley,GWO,SSE,4,5.74,11.74,0.77,0.37,0.32,0.18,0.23,0.22,0.03,0.09,11.72,0.27,0.03,0.98,0.79,0.06,23.9,23.9,22.64,22.64,22.22,22.22,20.69,20.04,14.31,14.31,14.31,14.31,14.31,14.31,14.31,14.31,14.31,14.31,14.31,14.31,14.31,13.86,13.86,13.86,13.86,13.86,13.86,13.74,13.74,13.74,13.07,12.77,12.77,12.77,12.77,12.77,12.77,12.55,12.55,12.41,12.04,12.04,11.99,11.99,11.94,11.88,11.77,11.77,11.76,11.74
smiley,MVO,SSE,4,5.72,12.35,0.77,0.38,0.3,0.17,0.22,0.21,0.03,0.09,12.35,0.29,0.03,0.99,0.85,0.06,16.82,16.82,16.82,16.82,16.82,16.82,16.82,16.82,16.82,16.82,15.62,15.15,15.15,15.15,15.15,15.15,14.28,13.28,13.28,13.28,13.28,13.28,13.28,13.28,13.28,13.28,13.28,13.25,13.25,13.25,12.89,12.82,12.63,12.63,12.53,12.53,12.53,12.53,12.53,12.51,12.51,12.42,12.42,12.42,12.41,12.38,12.37,12.36,12.36,12.35
smiley,MVO,SSE,4,5.72,11.73,0.77,0.37,0.33,0.19,0.24,0.23,0.02,0.08,11.71,0.27,0.02,0.98,0.77,0.06,23.15,18.45,18.45,18.45,18.45,16.99,16.99,16.99,16.99,16.99,16.99,16.98,16.98,16.98,16.98,15.17,13.64,13.64,13.64,13.64,13.64,13.64,13.3,13.3,13.23,13.23,13.23,12.22,12.22,12.22,12.22,12.22,12.13,12.13,12.13,12.1,12.1,11.96,11.95,11.95,11.79,11.79,11.78,11.78,11.75,11.74,11.74,11.74,11.73,11.73
smiley,MVO,SSE,4,6.15,11.72,0.77,0.37,0.33,0.19,0.24,0.23,0.02,0.1,11.71,0.27,0.02,0.98,0.77,0.06,26.49,24.04,24.04,20.67,20.67,20.67,20.67,20.67,19.08,19.08,16.97,16.75,16.75,16.75,16.75,16.07,14.6,14.6,14.25,14.01,14.01,14.01,14.01,14.01,14.01,13.77,13.03,13.03,13.03,12.59,12.59,12.36,12.03,12.03,12.03,12.03,12.03,12.03,12.03,12.03,12.03,11.98,11.96,11.88,11.88,11.83,11.76,11.75,11.73,11.72
smiley,PSO,SSE,4,5.95,12.01,0.77,0.36,0.34,0.19,0.25,0.24,0.02,0.31,11.78,0.27,0.02,0.98,0.75,0.06,21.64,15.88,14.2,14.2,13.1,13.1,13.1,13.1,13.1,13.1,13.1,13.1,13.1,13.1,13.1,13.1,13.1,13.1,13.1,13.1,13.1,13.1,12.94,12.94,12.57,12.43,12.43,12.25,12.25,12.22,12.16,12.16,12.16,12.15,12.12,12.12,12.12,12.12,12.06,12.06,12.06,12.05,12.04,12.04,12.04,12.03,12.03,12.02,12.01,12.01
